trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,13,1.7864047704642139,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.6035055754270405}",35,0,-42.592612160328535,"{0: 26, 1: 3, 2: 6, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.600495578812266}",20,0,-71.77669650258193,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.5975005946182375}",20,0,-37.41797378235565,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5945205479701944}",30,0,-42.4851204223449,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.5915553643668151}",20,13,2.20631104273572,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-96.90365066800273,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.5856692901447939}",20,0,-84.75054074312499,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-45.63728260374401,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.5798417833398464}",20,2,-111.80510266804083,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
110,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,14,5.0119555089562215,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.5740722611964361}",20,3,-12.917423238679762,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-118.43312726502774,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.5683601467575404}",20,11,19.3210810741985,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-52.489094429584334,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.5627048688069557}",20,13,3.343461033527653,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.559898366565402}",25,11,-50.45262682597533,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.5571058618121739}",25,0,-1.4374780640881926,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
